"subject","csv_name","IMC","loss_control","age","PNS","LOC","genre","genre_binaire","prop_correct","HIT","MISS","FA","CR","HIT_corr","FA_corr","dprime","c","HIT_outlier","FA_outlier","nb_timeout","RT_HITS","RT_MISS","RT_FA","RT_CR"
167,"349417_210423_160836.csv","1","1",20,49,44,"Homme",0,0.562,0.636,0.364,0.154,0.846,0.625,0.179,1.24,0.3,0.438,0.312,8,1295.429,1649,1884.5,1374.273
168,"349417_210423_161219.csv","1","0",21,45,37,"Femme",1,0.656,0.571,0.429,0,1,0.567,0.036,1.97,0.82,0.5,0.188,5,955.875,836.833,NA,960.769
169,"349417_210423_164415.csv","1","1",30,48,37,"Homme",0,0.688,0.933,0.067,0.5,0.5,0.906,0.5,1.32,-0.66,0.875,0.5,1,657.5,572,762.625,735.625
170,"349417_210423_170801.csv","1","0",23,57,27,"Femme",1,0.75,0.533,0.467,0,1,0.531,0.029,1.97,0.91,0.5,0,1,1668.75,1720.286,NA,1534.062
171,"349417_210423_174212.csv","1","1",33,25,26,"Homme",0,0.375,0.625,0.375,0.222,0.778,0.611,0.25,0.96,0.2,0.312,0.562,15,1061.4,1357,1410,1140.571
172,"349417_210423_192148.csv","1","0",26,41,39,"Homme",0,0.5,0.727,0.273,0,1,0.708,0.056,2.14,0.52,0.5,0.5,13,1223,1085.333,NA,1161.875
173,"349417_210423_200707.csv","0","1",56,39,31,"Homme",0,0,NA,NA,NA,NA,0.5,0.5,0,0,0,1,32,NA,NA,NA,NA
174,"349417_210423_210645.csv","1","1",22,51,33,"Femme",1,0.719,0.714,0.286,0.188,0.812,0.7,0.206,1.35,0.15,0.625,0.188,2,855.9,816.75,769,825.231
175,"349417_210424_000133.csv","1","0",24,42,47,"Femme",1,0.375,0.357,0.643,0.533,0.467,0.367,0.531,-0.42,0.13,0.312,0.562,3,872.2,1014.111,1016,1197.857
176,"349417_210424_101939.csv","1","0",20,65,41,"Femme",1,0.812,0.867,0.133,0.188,0.812,0.844,0.206,1.83,-0.09,0.812,0.188,1,705.538,715,682.667,811.923
177,"349417_210425_141604.csv","1","0",19,64,36,"Femme",1,0.188,0.75,0.25,0,1,0.7,0.125,1.67,0.31,0.188,0.812,25,1338.667,1959,NA,1634.333
178,"349417_210425_185701.csv","1","1",21,43,25,"Femme",1,0.625,0.6,0.4,0.312,0.688,0.594,0.324,0.7,0.11,0.562,0.312,1,882.556,1050,913.2,891.273
179,"349417_210425_190617.csv","1","0",20,67,37,"Femme",1,0.438,0.778,0.222,0.222,0.778,0.75,0.25,1.35,0,0.438,0.562,14,1015.429,1376.5,928.5,1462.143
180,"349417_210425_191155.csv","0","0",20,59,45,"Femme",1,0.094,1,0,0.333,0.667,0.75,0.375,0.99,-0.18,0.062,0.875,28,750,NA,878,1307
181,"349417_210425_192229.csv","1","1",21,43,38,"Femme",1,0.156,0.4,0.6,0.5,0.5,0.417,0.5,-0.21,0.11,0.125,0.812,21,1536.5,1666,1699.667,1054.333
182,"349417_210425_192247.csv","1","0",21,23,39,"Femme",1,0.531,0.636,0.364,0.167,0.833,0.625,0.192,1.19,0.28,0.438,0.375,9,849.429,1029.25,1102,785.8
183,"349417_210425_193539.csv","1","1",22,44,39,"Homme",0,0.656,0.625,0.375,0.267,0.733,0.618,0.281,0.88,0.14,0.625,0.312,1,1050.9,1254.333,1168,942.273
184,"349417_210425_194126.csv","1","0",20,56,28,"Femme",1,0.562,0.75,0.25,0.625,0.375,0.735,0.618,0.33,-0.46,0.75,0.625,0,1009.667,923.75,862.5,853.333
185,"349417_210425_194309.csv","1","1",20,47,28,"Femme",1,0.719,0.688,0.312,0.2,0.8,0.676,0.219,1.23,0.16,0.688,0.25,1,767.273,886,760,890.583
186,"349417_210425_194930.csv","1","1",20,38,31,"Femme",1,0.25,0.4,0.6,0.143,0.857,0.417,0.188,0.68,0.55,0.125,0.625,20,1364,934.667,1365,1326
187,"349417_210425_202145.csv","1","0",20,44,35,"Femme",1,0.906,0.938,0.062,0.125,0.875,0.912,0.147,2.4,-0.15,0.938,0.125,0,1444.133,1634,1611,1452.214
188,"349417_210425_202553.csv","1","1",34,72,53,"Homme",0,0.469,0.375,0.625,0.4,0.6,0.382,0.406,-0.06,0.27,0.375,0.438,1,841.333,767.1,700.667,784.444
189,"349417_210425_210111.csv","1","1",20,41,28,"Femme",1,0.062,1,0,0,1,0.75,0.25,1.35,0,0.062,0.938,30,1713,NA,NA,1947
190,"349417_210425_213940.csv","1","0",25,46,40,"Homme",0,0.469,0.778,0.222,0.273,0.727,0.75,0.292,1.22,-0.06,0.438,0.5,12,1479.429,1744,1371.333,1084.25
191,"349417_210425_221746.csv","1","1",34,51,18,"Femme",1,0.094,0.5,0.5,0,1,0.5,0.25,0.67,0.34,0.125,0.938,27,1173.5,1606,NA,1990
192,"349417_210426_075124.csv","1","0",19,27,35,"Femme",1,0.094,0.667,0.333,0,1,0.625,0.25,0.99,0.18,0.125,0.938,28,1684.5,87,NA,1854
